Distribution,NumPy Time (s),Torch Time (s),Torch Speedup,Mlx Time (s),Mlx Speedup
normal,0.000184249877929687,1.48296356201172e-05,12.4244372990354,1.15394592285156e-05,15.9669421487603
uniform,9.1552734375e-06,1.10149383544922e-05,0.831168831168831,7.82012939453125e-06,1.17073170731707
exponential,1.46865844726563e-05,1.23977661132812e-05,1.18461538461538,1.03473663330078e-05,1.41935483870968
gamma,3.10420989990234e-05,2.38418579101562e-05,1.302,2.46524810791016e-05,1.25918762088975
poisson,0.00976581573486328,0.00660333633422852,1.47892144827487,0.00905327796936035,1.07870494730355
categorical,1.20162963867187e-05,9.96589660644531e-06,1.20574162679426,1.17301940917969e-05,1.02439024390244
