Operation,NumPy Time (s),Torch Time (s),Torch Speedup,Mlx Time (s),Mlx Speedup
add,8.72611999511719e-05,3.97205352783203e-05,2.1968787515006,3.70025634765625e-05,2.35824742268041
subtract,4.75406646728516e-05,2.89440155029297e-05,1.64250411861614,2.80380249023437e-05,1.69557823129252
multiply,4.61101531982422e-05,2.8228759765625e-05,1.63344594594595,2.37941741943359e-05,1.93787575150301
divide,4.85897064208984e-05,5.25951385498047e-05,0.923844061650045,4.70638275146484e-05,1.03242147922999
pow,4.55856323242187e-05,4.82082366943359e-05,0.945598417408506,4.67777252197266e-05,0.974515800203874
abs,2.00271606445313e-06,1.19209289550781e-06,1.68,1.04904174804688e-06,1.90909090909091
mean,3.69548797607422e-05,3.75270843505859e-05,0.984752223634053,3.49044799804688e-05,1.05874316939891
softmax,2.72750854492188e-05,2.90870666503906e-05,0.937704918032787,2.78472900390625e-05,0.979452054794521
