Operation,numpy_time,numpy_mean,numpy_std,torch_time,torch_mean,torch_std,mlx_time,mlx_mean,mlx_std
add,8.72611999511719e-05,3,0,3.97205352783203e-05,3,0,3.70025634765625e-05,3,0
subtract,4.75406646728516e-05,-1,0,2.89440155029297e-05,-1,0,2.80380249023437e-05,-1,0
multiply,4.61101531982422e-05,2,0,2.8228759765625e-05,2,0,2.37941741943359e-05,2,0
divide,4.85897064208984e-05,0.5,0,5.25951385498047e-05,0.5,0,4.70638275146484e-05,0.5,0
pow,4.55856323242187e-05,1,0,4.82082366943359e-05,1,0,4.67777252197266e-05,1,0
abs,2.00271606445313e-06,1,0,1.19209289550781e-06,1,0,1.04904174804688e-06,1,0
mean,3.69548797607422e-05,,,3.75270843505859e-05,,,3.49044799804688e-05,,
softmax,2.72750854492188e-05,,,2.90870666503906e-05,,,2.78472900390625e-05,,
